iter	Passed	Remaining
662	44565	22652
663	44624	22580
664	44681	22508
665	44747	22440
666	44810	22371
667	44871	22301
668	44935	22232
669	44991	22159
670	45046	22086
671	45101	22013
672	45156	21940
673	45212	21868
674	45266	21794
675	45321	21722
676	45378	21650
677	45435	21578
678	45488	21504
679	45543	21432
680	45594	21357
681	45657	21288
682	45710	21215
683	45766	21143
684	45819	21070
685	45883	21001
686	45941	20930
687	45999	20860
688	46057	20789
689	46114	20717
690	46178	20649
691	46241	20581
692	46301	20511
693	46360	20441
694	46426	20374
695	46493	20307
696	46554	20238
697	46620	20170
698	46678	20100
699	46735	20029
700	46798	19961
701	46858	19891
702	46917	19821
703	46975	19751
704	47035	19681
705	47106	19616
706	47165	19546
707	47229	19478
708	47293	19411
709	47361	19345
710	47430	19279
711	47499	19213
712	47561	19144
713	47617	19073
714	47672	19002
715	47729	18931
716	47785	18861
717	47848	18792
718	47906	18722
719	47963	18652
720	48021	18582
721	48087	18515
722	48152	18448
723	48208	18377
724	48267	18308
725	48323	18237
726	48379	18167
727	48435	18096
728	48491	18026
729	48548	17956
730	48605	17886
731	48668	17818
732	48733	17751
733	48791	17682
734	48848	17611
735	48905	17542
736	48967	17474
737	49040	17409
738	49101	17341
739	49161	17273
740	49218	17203
741	49283	17136
742	49343	17067
743	49407	17000
744	49462	16930
745	49509	16857
746	49560	16785
747	49612	16714
748	49662	16642
749	49711	16570
750	49761	16498
751	49814	16428
752	49864	16356
753	49986	16308
754	50087	16253
755	50149	16185
756	50204	16115
757	50253	16043
758	50302	15972
759	50357	15902
760	50414	15833
761	50473	15764
762	50527	15694
763	50584	15625
764	50639	15555
765	50701	15488
766	50761	15420
767	50819	15351
768	50878	15283
769	50937	15215
770	50999	15147
771	51057	15079
772	51120	15012
773	51191	14947
774	51257	14881
775	51328	14816
776	51395	14750
777	51460	14684
778	51519	14615
779	51575	14547
780	51627	14476
781	51679	14406
782	51736	14338
783	51796	14270
784	51854	14202
785	51915	14134
786	51970	14065
787	52028	13997
788	52088	13929
789	52143	13861
790	52204	13793
791	52260	13725
792	52318	13657
793	52373	13588
794	52426	13518
795	52476	13448
796	52528	13379
797	52579	13309
798	52631	13240
799	52682	13170
800	52734	13101
801	52785	13031
802	52839	12963
803	52892	12894
804	52945	12825
805	53012	12759
806	53066	12691
807	53120	12622
808	53175	12554
809	53228	12485
810	53284	12417
811	53349	12351
812	53401	12283
813	53454	12214
814	53508	12146
815	53560	12077
816	53611	12008
817	53668	11941
818	53721	11872
819	53768	11802
820	53816	11733
821	53868	11665
822	53919	11596
823	53973	11528
824	54031	11461
825	54113	11399
826	54173	11332
827	54228	11264
828	54282	11197
829	54337	11129
830	54391	11061
831	54446	10993
832	54500	10926
833	54552	10858
834	54604	10790
835	54662	10723
836	54719	10656
837	54778	10589
838	54848	10525
839	54911	10459
840	54976	10393
841	55036	10327
842	55098	10261
843	55150	10193
844	55203	10126
845	55256	10058
846	55309	9990
